subject	block	onset	duration	trial_type	structure	category	item	response	ACC	RT
sub-01	3	11.868	0	sound	ii	2	14	3	0	1.187
sub-01	3	14.418	0	feedback	ii	2	14	NaN	NaN	NaN
sub-01	3	19.317	0	sound	ii	4	33	3	0	1.114
sub-01	3	23.55	0	feedback	ii	4	33	NaN	NaN	NaN
sub-01	3	26.816	0	sound	ii	4	35	4	1	0.975
sub-01	3	29.4	0	feedback	ii	4	35	NaN	NaN	NaN
sub-01	3	34.316	0	sound	ii	4	37	4	1	0.97
sub-01	3	38.599	0	feedback	ii	4	37	NaN	NaN	NaN
sub-01	3	41.832	0	sound	ii	2	20	0	0	0
sub-01	3	46.198	0	feedback	ii	2	20	NaN	NaN	NaN
sub-01	3	51.814	0	sound	ii	2	13	3	0	0.992
sub-01	3	55.88	0	feedback	ii	2	13	NaN	NaN	NaN
sub-01	3	61.83	0	sound	ii	4	39	3	0	1.031
sub-01	3	65.846	0	feedback	ii	4	39	NaN	NaN	NaN
sub-01	3	71.812	0	sound	ii	4	31	4	1	0.769
sub-01	3	75.561	0	feedback	ii	4	31	NaN	NaN	NaN
sub-01	3	79.311	0	sound	ii	1	3	4	0	1.55
sub-01	3	83.377	0	feedback	ii	1	3	NaN	NaN	NaN
sub-01	3	86.844	0	sound	ii	2	18	1	0	0.848
sub-01	3	90.543	0	feedback	ii	2	18	NaN	NaN	NaN
sub-01	3	94.326	0	sound	ii	2	11	2	1	1.006
sub-01	3	98.192	0	feedback	ii	2	11	NaN	NaN	NaN
sub-01	3	101.825	0	sound	ii	2	16	2	1	0.795
sub-01	3	105.075	0	feedback	ii	2	16	NaN	NaN	NaN
sub-01	3	109.325	0	sound	ii	4	38	4	1	1.023
sub-01	3	112.808	0	feedback	ii	4	38	NaN	NaN	NaN
sub-01	3	116.841	0	sound	ii	3	28	3	1	1.346
sub-01	3	120.19	0	feedback	ii	3	28	NaN	NaN	NaN
sub-01	3	124.323	0	sound	ii	2	19	2	1	1.344
sub-01	3	127.373	0	feedback	ii	2	19	NaN	NaN	NaN
sub-01	3	134.355	0	sound	ii	4	36	4	1	1.008
sub-01	3	137.305	0	feedback	ii	4	36	NaN	NaN	NaN
sub-01	3	141.838	0	sound	ii	1	6	2	0	1.596
sub-01	3	145.654	0	feedback	ii	1	6	NaN	NaN	NaN
sub-01	3	149.32	0	sound	ii	1	1	3	0	1.322
sub-01	3	153.22	0	feedback	ii	1	1	NaN	NaN	NaN
sub-01	3	156.853	0	sound	ii	4	34	4	1	1.181
sub-01	3	160.503	0	feedback	ii	4	34	NaN	NaN	NaN
sub-01	3	164.302	0	sound	ii	4	32	0	0	0
sub-01	3	168.535	0	feedback	ii	4	32	NaN	NaN	NaN
sub-01	3	174.301	0	sound	ii	2	12	0	0	0
sub-01	3	177.201	0	feedback	ii	2	12	NaN	NaN	NaN
sub-01	3	181.8	0	sound	ii	3	25	4	0	1.193
sub-01	3	186.117	0	feedback	ii	3	25	NaN	NaN	NaN
sub-01	3	189.333	0	sound	ii	2	17	3	0	1.316
sub-01	3	192.449	0	feedback	ii	2	17	NaN	NaN	NaN
sub-01	3	196.799	0	sound	ii	3	22	4	0	0.929
sub-01	3	201.132	0	feedback	ii	3	22	NaN	NaN	NaN
sub-01	3	204.348	0	sound	ii	1	7	2	0	1.404
sub-01	3	208.764	0	feedback	ii	1	7	NaN	NaN	NaN
sub-01	3	211.797	0	sound	ii	3	30	3	1	1.179
sub-01	3	214.814	0	feedback	ii	3	30	NaN	NaN	NaN
sub-01	3	221.846	0	sound	ii	3	29	4	0	0.721
sub-01	3	225.879	0	feedback	ii	3	29	NaN	NaN	NaN
sub-01	3	229.296	0	sound	ii	3	27	4	0	0.719
sub-01	3	233.178	0	feedback	ii	3	27	NaN	NaN	NaN
sub-01	3	236.811	0	sound	ii	4	40	4	1	0.868
sub-01	3	240.744	0	feedback	ii	4	40	NaN	NaN	NaN
sub-01	3	246.794	0	sound	ii	2	15	0	0	0
sub-01	3	251.227	0	feedback	ii	2	15	NaN	NaN	NaN
sub-01	3	254.31	0	sound	ii	1	8	2	0	0.944
sub-01	3	257.393	0	feedback	ii	1	8	NaN	NaN	NaN
sub-01	3	261.792	0	sound	ii	3	26	0	0	0
sub-01	3	265.575	0	feedback	ii	3	26	NaN	NaN	NaN
sub-01	3	269.308	0	sound	ii	3	23	0	0	0
sub-01	3	272.558	0	feedback	ii	3	23	NaN	NaN	NaN
sub-01	3	276.841	0	sound	ii	1	5	3	0	1.268
sub-01	3	280.29	0	feedback	ii	1	5	NaN	NaN	NaN
sub-01	3	286.806	0	sound	ii	1	10	1	1	1.031
sub-01	3	289.689	0	feedback	ii	1	10	NaN	NaN	NaN
sub-01	3	294.305	0	sound	ii	1	2	1	1	0.812
sub-01	3	298.088	0	feedback	ii	1	2	NaN	NaN	NaN
sub-01	3	301.805	0	sound	ii	1	9	1	1	0.959
sub-01	3	304.804	0	feedback	ii	1	9	NaN	NaN	NaN
sub-01	3	311.837	0	sound	ii	3	24	3	1	1.239
sub-01	3	315.437	0	feedback	ii	3	24	NaN	NaN	NaN
sub-01	3	319.353	0	sound	ii	3	21	3	1	0.979
sub-01	3	323.052	0	feedback	ii	3	21	NaN	NaN	NaN
sub-01	3	329.302	0	sound	ii	1	4	3	0	0.917
sub-01	3	333.485	0	feedback	ii	1	4	NaN	NaN	NaN
